Datasource,Timestamp,How many WEEKS do you think it’ll take before your daily life returns to normal?,What year were you born?,What is your gender?,What is your ethnicity?,What is the zip code (i.e. postal code) of the place you currently live in?,What is your employment status?,Is any of your loved ones at higher risk of COVID-19? (check all that apply),"In the past 48 hours, I... (check all that apply)","On a scale of 1 to 10, how reasonable do you think the public reaction is to COVID-19 now? (1 is under-reacting and 10 is overreacting)","On a scale of 1 to 10, how much do you trust the government to respond to COVID-19 effectively? (1 is strongly distrust and 10 is strongly trust)","""COVID-19 has led me to drastically change my daily routines and the way I spend my day."" How much do you agree or disagree with this statement?","How are you doing financially today, compared to a year ago?",What industry are you part of?,What is your income?
Google2,3/19/20 11:27,8,1995,Male,"Caucasian, Hispanic/Latinx",10031,Student,"Yes, due to their age (60+), Yes, due to existing medical conditions (Diabetes, heart disease, lung disease), Yes, they live in areas affected by COVID-19 (parts of the USA, China, Italy, Korea, etc)","Did not leave my home for non-critical needs, Maintained 3 feet distance between myself and other people outside of my household, Made an effort to avoid touching my eyes, nose and mouth, Cleaned surfaces with disinfecting wipes or sprays, Increased frequency of hand washing with soap, Rescheduled or canceled non-critical in-person gatherings and appointments (e.g. birthday parties, concerts, museums, annual checkups, spa, social dinners)",5+6,1+2,Strongly agree,About the same,"Computers (Hardware, software, internet)","More than $200,000"
Google2,3/19/20 11:36,6,1992,Male,Caucasian,10009,Student,"Yes, due to their age (60+), Yes, due to existing medical conditions (Diabetes, heart disease, lung disease)","Maintained 3 feet distance between myself and other people outside of my household, Cleaned surfaces with disinfecting wipes or sprays, Rescheduled or canceled pre-arranged travel plans, Increased frequency of hand washing with soap",5+6,3+4,Strongly agree,Significantly worse,"Computers (Hardware, software, internet)","Less than $25,000"
Google2,3/19/20 12:07,8,1994,Female,Asian/Asian American,10017,Student,"Yes, due to their age (60+), Yes, due to existing medical conditions (Diabetes, heart disease, lung disease), Yes, they live in areas affected by COVID-19 (parts of the USA, China, Italy, Korea, etc)","Did not leave my home for non-critical needs, Maintained 3 feet distance between myself and other people outside of my household, Made an effort to avoid touching my eyes, nose and mouth, Cleaned surfaces with disinfecting wipes or sprays, Increased frequency of hand washing with soap",3+4,1+2,Strongly agree,Somewhat worse,Unemployed,"Less than $25,000"
Google2,3/19/20 12:11,8,1996,Male,"Caucasian, Asian/Asian American",10032,Student,"Yes, due to their age (60+), Yes, due to existing medical conditions (Diabetes, heart disease, lung disease), Yes, they live in areas affected by COVID-19 (parts of the USA, China, Italy, Korea, etc)","Did not leave my home for non-critical needs, Maintained 3 feet distance between myself and other people outside of my household, Made an effort to avoid touching my eyes, nose and mouth, Cleaned surfaces with disinfecting wipes or sprays, Increased frequency of hand washing with soap",7+8,3+4,Strongly agree,About the same,Prefer not to say,"Less than $25,000"
Google2,3/19/20 12:32,16,1992,Female,Asian/Asian American,10036,Not employed,"Yes, due to their age (60+), Yes, due to existing medical conditions (Diabetes, heart disease, lung disease), Yes, they live in areas affected by COVID-19 (parts of the USA, China, Italy, Korea, etc)","Did not leave my home for non-critical needs, Maintained 3 feet distance between myself and other people outside of my household, Made an effort to avoid touching my eyes, nose and mouth, Increased frequency of hand washing with soap",1+2,1+2,Strongly agree,Significantly worse,Unemployed,"Between $100,000 and $124,999"
Google2,3/19/20 12:39,4,1993,Male,Caucasian,22207,Employed full-time,"No, I don't know","Did not leave my home for non-critical needs, Maintained 3 feet distance between myself and other people outside of my household, Made an effort to avoid touching my eyes, nose and mouth, Increased frequency of hand washing with soap, Rescheduled or canceled non-critical in-person gatherings and appointments (e.g. birthday parties, concerts, museums, annual checkups, spa, social dinners)",5+6,3+4,Agree,About the same,Arts/Entertainment/Recreation,"Between $25,000 and $49,999"
Google2,3/19/20 14:41,8,1997,Other,Caucasian,11238,Student,"Yes, due to their age (60+)","Did not leave my home for non-critical needs, Made an effort to avoid touching my eyes, nose and mouth, Cleaned surfaces with disinfecting wipes or sprays, Increased frequency of hand washing with soap, Rescheduled or canceled non-critical in-person gatherings and appointments (e.g. birthday parties, concerts, museums, annual checkups, spa, social dinners)",3+4,1+2,Strongly agree,About the same,"Computers (Hardware, software, internet)","Less than $25,000"
Google2,3/19/20 15:50,20,1989,Male,Caucasian,10018,Employed full-time,"Yes, due to their age (60+)","Did not leave my home for non-critical needs, Maintained 3 feet distance between myself and other people outside of my household, Cleaned surfaces with disinfecting wipes or sprays, Rescheduled or canceled pre-arranged travel plans, Increased frequency of hand washing with soap, Rescheduled or canceled non-critical in-person gatherings and appointments (e.g. birthday parties, concerts, museums, annual checkups, spa, social dinners)",3+4,5+6,Strongly agree,Significantly better,"Computers (Hardware, software, internet)",Prefer not to say
Google2,3/19/20 19:56,12,1991,Female,Asian/Asian American,94112,Prefer not to say,No,"Made an effort to avoid touching my eyes, nose and mouth, Cleaned surfaces with disinfecting wipes or sprays, Increased frequency of hand washing with soap, Rescheduled or canceled non-critical in-person gatherings and appointments (e.g. birthday parties, concerts, museums, annual checkups, spa, social dinners)",9+10,7+8,Strongly agree,Somewhat worse,Prefer not to say,"Between $25,000 and $49,999"
Google2,3/19/20 20:00,12,1979,Male,Asian/Asian American,95035,Employed full-time,"Yes, due to their age (60+)",Did not leave my home for non-critical needs,9+10,1+2,Strongly agree,Significantly worse,Engineering (except software engineering),"Between $75,000 and $99,999"
Google2,3/20/20 6:40,8,1994,Male,Prefer not to say,11215,Employed full-time,"Yes, due to their age (60+)","Did not leave my home for non-critical needs, Made an effort to avoid touching my eyes, nose and mouth, Cleaned surfaces with disinfecting wipes or sprays, Increased frequency of hand washing with soap",1+2,1+2,Strongly agree,About the same,"Computers (Hardware, software, internet)",Prefer not to say
Google2,3/20/20 7:44,8,1991,Male,Asian/Asian American,95134,Employed full-time,"Yes, due to their age (60+)","Did not leave my home for non-critical needs, Maintained 3 feet distance between myself and other people outside of my household, Made an effort to avoid touching my eyes, nose and mouth, Increased frequency of hand washing with soap",5+6,5+6,Neutral,About the same,"Computers (Hardware, software, internet)","More than $200,000"
Google2,3/20/20 11:34,6,1999,Male,Caucasian,11362,Student,No,"Made an effort to avoid touching my eyes, nose and mouth, Attended in-person gatherings outside of my household, Rescheduled or canceled pre-arranged travel plans, Increased frequency of hand washing with soap, Rescheduled or canceled non-critical in-person gatherings and appointments (e.g. birthday parties, concerts, museums, annual checkups, spa, social dinners)",5+6,1+2,Strongly agree,About the same,Unemployed,"More than $200,000"
Google2,3/20/20 14:52,24,1995,Male,Black/African American,94110,Student,"Yes, due to their age (60+)","Maintained 3 feet distance between myself and other people outside of my household, Made an effort to avoid touching my eyes, nose and mouth, Cleaned surfaces with disinfecting wipes or sprays, Increased frequency of hand washing with soap, Rescheduled or canceled non-critical in-person gatherings and appointments (e.g. birthday parties, concerts, museums, annual checkups, spa, social dinners)",3+4,5+6,Agree,About the same,"Computers (Hardware, software, internet)","More than $200,000"
Google2,3/20/20 15:05,16,1991,Other,Caucasian,98118,Self-employed,"Yes, they live in areas affected by COVID-19 (parts of the USA, China, Italy, Korea, etc)","Made an effort to avoid touching my eyes, nose and mouth, Cleaned surfaces with disinfecting wipes or sprays, Rescheduled or canceled pre-arranged travel plans, Increased frequency of hand washing with soap, Rescheduled or canceled non-critical in-person gatherings and appointments (e.g. birthday parties, concerts, museums, annual checkups, spa, social dinners)",5+6,3+4,Agree,Somewhat better,"Computers (Hardware, software, internet)","Between $150,000 and $199,000"
Google2,3/20/20 16:21,79,1985,Male,Caucasian,2138,Self-employed,"Yes, due to their age (60+)","Did not leave my home for non-critical needs, Maintained 3 feet distance between myself and other people outside of my household, Made an effort to avoid touching my eyes, nose and mouth, Cleaned surfaces with disinfecting wipes or sprays, Rescheduled or canceled pre-arranged travel plans, Increased frequency of hand washing with soap, Rescheduled or canceled non-critical in-person gatherings and appointments (e.g. birthday parties, concerts, museums, annual checkups, spa, social dinners)",1+2,1+2,Strongly agree,Somewhat worse,"Computers (Hardware, software, internet)","Between $125,000 and $149,999"
Google2,3/20/20 19:48,5,1998,Female,Asian/Asian American,2142,Employed full-time,"Yes, due to their age (60+), Yes, they live in areas affected by COVID-19 (parts of the USA, China, Italy, Korea, etc)","Maintained 3 feet distance between myself and other people outside of my household, Made an effort to avoid touching my eyes, nose and mouth, Cleaned surfaces with disinfecting wipes or sprays, Attended in-person gatherings outside of my household, Rescheduled or canceled pre-arranged travel plans, Increased frequency of hand washing with soap, Rescheduled or canceled non-critical in-person gatherings and appointments (e.g. birthday parties, concerts, museums, annual checkups, spa, social dinners)",3+4,3+4,Strongly agree,Significantly better,"Computers (Hardware, software, internet)","Between $150,000 and $199,000"
Google2,3/20/20 20:35,6,1989,Male,Caucasian,94114,Employed full-time,No,"Did not leave my home for non-critical needs, Maintained 3 feet distance between myself and other people outside of my household, Cleaned surfaces with disinfecting wipes or sprays, Rescheduled or canceled pre-arranged travel plans, Increased frequency of hand washing with soap, Rescheduled or canceled non-critical in-person gatherings and appointments (e.g. birthday parties, concerts, museums, annual checkups, spa, social dinners), Shook hands with anyone outside of my household",7+8,1+2,Strongly agree,About the same,Research/ Science,"Between $75,000 and $99,999"
Google2,3/20/20 22:00,12,1989,Female,Asian/Asian American,94306,Employed full-time,"Yes, due to their age (60+), Yes, they live in areas affected by COVID-19 (parts of the USA, China, Italy, Korea, etc)","Maintained 3 feet distance between myself and other people outside of my household, Made an effort to avoid touching my eyes, nose and mouth, Cleaned surfaces with disinfecting wipes or sprays, Increased frequency of hand washing with soap",1+2,1+2,Agree,Somewhat worse,"Computers (Hardware, software, internet)","Between $150,000 and $199,000"
Google2,3/21/20 7:57,12,1990,Male,Asian/Asian American,7024,Employed full-time,"Yes, due to existing medical conditions (Diabetes, heart disease, lung disease)","Made an effort to avoid touching my eyes, nose and mouth, Increased frequency of hand washing with soap, Rescheduled or canceled non-critical in-person gatherings and appointments (e.g. birthday parties, concerts, museums, annual checkups, spa, social dinners)",3+4,7+8,Strongly agree,Significantly worse,Education,"Between $150,000 and $199,000"
Google2,3/21/20 17:38,25,1981,Female,Asian/Asian American,94304,Employed full-time,"Yes, due to their age (60+), Yes, due to existing medical conditions (Diabetes, heart disease, lung disease), Yes, they live in areas affected by COVID-19 (parts of the USA, China, Italy, Korea, etc)","Did not leave my home for non-critical needs, Maintained 3 feet distance between myself and other people outside of my household, Attended in-person gatherings outside of my household, Rescheduled or canceled pre-arranged travel plans",5+6,3+4,Neutral,About the same,"Education, Research/ Science","More than $200,000"
Google2,3/21/20 18:13,8,1981,Male,Caucasian,94025,Employed full-time,"Yes, due to their age (60+), Yes, due to existing medical conditions (Diabetes, heart disease, lung disease), Yes, they live in areas affected by COVID-19 (parts of the USA, China, Italy, Korea, etc)","Did not leave my home for non-critical needs, Maintained 3 feet distance between myself and other people outside of my household, Made an effort to avoid touching my eyes, nose and mouth, Cleaned surfaces with disinfecting wipes or sprays, Rescheduled or canceled pre-arranged travel plans, Increased frequency of hand washing with soap, Rescheduled or canceled non-critical in-person gatherings and appointments (e.g. birthday parties, concerts, museums, annual checkups, spa, social dinners)",3+4,5+6,Strongly agree,Somewhat better,"Computers (Hardware, software, internet), Research/ Science","Between $100,000 and $124,999"
Google2,3/21/20 18:28,8,1981,Female,Asian/Asian American,94025,Self-employed,"Yes, due to their age (60+), Yes, due to existing medical conditions (Diabetes, heart disease, lung disease), Yes, they live in areas affected by COVID-19 (parts of the USA, China, Italy, Korea, etc)","Maintained 3 feet distance between myself and other people outside of my household, Made an effort to avoid touching my eyes, nose and mouth, Cleaned surfaces with disinfecting wipes or sprays",7+8,7+8,Agree,Somewhat better,Food Services,"Between $75,000 and $99,999"
Google2,3/21/20 19:02,10,1993,Male,Asian/Asian American,11374,Student,"Yes, due to their age (60+), Yes, they live in areas affected by COVID-19 (parts of the USA, China, Italy, Korea, etc)","Did not leave my home for non-critical needs, Increased frequency of hand washing with soap",7+8,5+6,Agree,Somewhat worse,Medical/ Healthcare,"More than $200,000"
Pollfish2,2020-03-20 15:09:54,40,2002,female,hispanic,94536,student,"Yes, they live in areas affected by COVID-19 (parts of the USA, China, Italy, Korea, etc),Yes, due to existing medical conditions (Diabetes, heart disease, lung disease)","Rescheduled or canceled non-critical in-person gatherings and appointments (e.g. birthday parties, concerts, museums, annual checkups, spa, social dinners),Rescheduled or canceled pre-arranged travel plans,Increased frequency of hand washing with soap,Cleaned surfaces with disinfecting wipes or sprays,Made an effort to avoid touching my eyes, nose and mouth,Maintained 3 feet distance between myself and other people outside of my household,Did not leave my home for non-critical needs,",7+8,1+2,Strongly agree,Somewhat worse,construction,"More than $200,000"
Pollfish2,2020-03-20 14:20:29,8,1976,female,asian,94403,employed_for_wages,No,"Rescheduled or canceled non-critical in-person gatherings and appointments (e.g. birthday parties, concerts, museums, annual checkups, spa, social dinners),,Increased frequency of hand washing with soap,Cleaned surfaces with disinfecting wipes or sprays,,Maintained 3 feet distance between myself and other people outside of my household,,",5+6,5+6,Strongly agree,Somewhat worse,manufacturing_computer_and_electronics,"More than $200,000"
Pollfish2,2020-03-20 17:14:07,28,2001,male,asian,94134,other,I don't know,"Attended in-person gatherings outside of my household,,,Increased frequency of hand washing with soap,Cleaned surfaces with disinfecting wipes or sprays,Made an effort to avoid touching my eyes, nose and mouth,Maintained 3 feet distance between myself and other people outside of my household,Did not leave my home for non-critical needs,",7+8,7+8,Agree,Somewhat worse,other,"More than $200,000"
Pollfish2,2020-03-20 15:14:01,24,1963,male,white,94114,retired,No,"Did not leave my home for non-critical needs,",7+8,1+2,Strongly agree,Significantly worse,construction,lower_i
Pollfish2,2020-03-20 16:34:08,10,1995,female,asian,94705,employed_for_wages,No,"Cleaned surfaces with disinfecting wipes or sprays,,Maintained 3 feet distance between myself and other people outside of my household,Did not leave my home for non-critical needs,",3+4,3+4,Strongly agree,Significantly better,education,prefer_not_to_say
Pollfish2,2020-03-20 10:19:06,4,1987,male,black,94603,self_employed,No,"Maintained 3 feet distance between myself and other people outside of my household,,",5+6,7+8,Neutral,About the same,other,lower_i
Pollfish2,2020-03-20 11:53:51,24,1973,male,white,94110,unable_to_work,I don't know,"Attended in-person gatherings outside of my household,,,Increased frequency of hand washing with soap,Cleaned surfaces with disinfecting wipes or sprays,Made an effort to avoid touching my eyes, nose and mouth,Maintained 3 feet distance between myself and other people outside of my household,,Ate at a restaurant",7+8,9+10,Strongly agree,About the same,other,lower_i
Pollfish2,2020-03-20 16:28:38,8,1971,female,white,94043,homemaker,"Yes, they live in areas affected by COVID-19 (parts of the USA, China, Italy, Korea, etc),Yes, due to existing medical conditions (Diabetes, heart disease, lung disease)","Increased frequency of hand washing with soap,Cleaned surfaces with disinfecting wipes or sprays,,Maintained 3 feet distance between myself and other people outside of my household,,Ate at a restaurant",5+6,7+8,Neutral,Somewhat better,homemaker,high_iii
Pollfish2,2020-03-20 14:20:52,6,1985,female,white,94110,employed_for_wages,No,"Rescheduled or canceled non-critical in-person gatherings and appointments (e.g. birthday parties, concerts, museums, annual checkups, spa, social dinners),,Increased frequency of hand washing with soap,Cleaned surfaces with disinfecting wipes or sprays,Made an effort to avoid touching my eyes, nose and mouth,Maintained 3 feet distance between myself and other people outside of my household,Did not leave my home for non-critical needs,",5+6,3+4,Strongly agree,Somewhat better,other,high_iii
Pollfish2,2020-03-20 10:50:07,5,2000,male,asian,95035,employed_for_wages,"Yes, due to existing medical conditions (Diabetes, heart disease, lung disease)","Increased frequency of hand washing with soap,Cleaned surfaces with disinfecting wipes or sprays,Made an effort to avoid touching my eyes, nose and mouth,Maintained 3 feet distance between myself and other people outside of my household,Did not leave my home for non-critical needs,",1+2,1+2,Strongly agree,Somewhat better,wholesale,lower_i
Pollfish2,2020-03-20 09:40:07,12,1953,male,white,94041,employed_for_wages,"Yes, due to existing medical conditions (Diabetes, heart disease, lung disease)","Rescheduled or canceled pre-arranged travel plans,Increased frequency of hand washing with soap,Cleaned surfaces with disinfecting wipes or sprays,Made an effort to avoid touching my eyes, nose and mouth,Maintained 3 feet distance between myself and other people outside of my household,Did not leave my home for non-critical needs,",9+10,9+10,Agree,About the same,software,middle_i
Pollfish2,2020-03-20 16:06:53,4,1993,female,asian,94109,employed_for_wages,"Yes, due to existing medical conditions (Diabetes, heart disease, lung disease)","Increased frequency of hand washing with soap,Cleaned surfaces with disinfecting wipes or sprays,,,Did not leave my home for non-critical needs,",7+8,3+4,Agree,Somewhat worse,arts_entertainment_or_recreation,lower_ii
Pollfish2,2020-03-20 09:07:43,16,1952,male,black,95141,retired,No,"Rescheduled or canceled pre-arranged travel plans,Increased frequency of hand washing with soap,Cleaned surfaces with disinfecting wipes or sprays,Made an effort to avoid touching my eyes, nose and mouth,Maintained 3 feet distance between myself and other people outside of my household,Did not leave my home for non-critical needs,",7+8,7+8,Agree,Somewhat worse,other,lower_i
Pollfish2,2020-03-20 12:48:11,10,1969,female,asian,94538,retired,No,"Rescheduled or canceled non-critical in-person gatherings and appointments (e.g. birthday parties, concerts, museums, annual checkups, spa, social dinners),Rescheduled or canceled pre-arranged travel plans,Increased frequency of hand washing with soap,Cleaned surfaces with disinfecting wipes or sprays,Made an effort to avoid touching my eyes, nose and mouth,Maintained 3 feet distance between myself and other people outside of my household,Did not leave my home for non-critical needs,",5+6,5+6,Agree,About the same,health_care_and_social_assistance,prefer_not_to_say
Pollfish2,2020-03-20 15:22:20,5,1991,male,asian,94536,employed_for_wages,No,"Shook hands with anyone outside of my household,,,,Rescheduled or canceled pre-arranged travel plans,,,,,,",3+4,3+4,Neutral,Somewhat worse,hotel_and_food_services,lower_ii
Pollfish2,2020-03-20 10:00:09,13,1970,male,white,95141,employed_for_wages,"Yes, due to existing medical conditions (Diabetes, heart disease, lung disease)","Increased frequency of hand washing with soap,Cleaned surfaces with disinfecting wipes or sprays,,,,",5+6,9+10,Disagree,Somewhat better,other,middle_i
Pollfish2,2020-03-20 16:41:20,8,1966,male,asian,94040,employed_for_wages,"Yes, due to existing medical conditions (Diabetes, heart disease, lung disease)","Rescheduled or canceled non-critical in-person gatherings and appointments (e.g. birthday parties, concerts, museums, annual checkups, spa, social dinners),Rescheduled or canceled pre-arranged travel plans,Increased frequency of hand washing with soap,,Made an effort to avoid touching my eyes, nose and mouth,Maintained 3 feet distance between myself and other people outside of my household,Did not leave my home for non-critical needs,",1+2,1+2,Strongly agree,Significantly worse,scientific_or_technical_services,high_iii
Pollfish2,2020-03-20 16:03:28,5,1997,female,hispanic,94087,unemployed_looking,No,"Attended in-person gatherings of 50 people,Attended in-person gatherings outside of my household,Rescheduled or canceled non-critical in-person gatherings and appointments (e.g. birthday parties, concerts, museums, annual checkups, spa, social dinners),Rescheduled or canceled pre-arranged travel plans,Increased frequency of hand washing with soap,Cleaned surfaces with disinfecting wipes or sprays,,Maintained 3 feet distance between myself and other people outside of my household,Did not leave my home for non-critical needs,Ate at a restaurant",7+8,5+6,Agree,Significantly worse,education,lower_i
Pollfish2,2020-03-20 15:59:09,8,1980,male,white,94610,employed_for_wages,No,"Rescheduled or canceled non-critical in-person gatherings and appointments (e.g. birthday parties, concerts, museums, annual checkups, spa, social dinners),,Increased frequency of hand washing with soap,,Made an effort to avoid touching my eyes, nose and mouth,Maintained 3 feet distance between myself and other people outside of my household,Did not leave my home for non-critical needs,",5+6,1+2,Strongly agree,Significantly worse,transportation_and_warehousing,middle_ii
Pollfish2,2020-03-20 10:28:48,52,1987,male,black,94110,unemployed_looking,"Yes, they live in areas affected by COVID-19 (parts of the USA, China, Italy, Korea, etc),","Increased frequency of hand washing with soap,,,Maintained 3 feet distance between myself and other people outside of my household,Did not leave my home for non-critical needs,",7+8,1+2,Neutral,About the same,construction,lower_i
Pollfish2,2020-03-20 10:58:32,12,1960,female,multiracial,95122,employed_for_wages,No,"Rescheduled or canceled non-critical in-person gatherings and appointments (e.g. birthday parties, concerts, museums, annual checkups, spa, social dinners),Rescheduled or canceled pre-arranged travel plans,Increased frequency of hand washing with soap,Cleaned surfaces with disinfecting wipes or sprays,Made an effort to avoid touching my eyes, nose and mouth,Maintained 3 feet distance between myself and other people outside of my household,Did not leave my home for non-critical needs,",1+2,9+10,Strongly agree,About the same,education,lower_ii
Pollfish2,2020-03-20 15:49:01,12,1987,male,white,95122,employed_for_wages,No,"Cleaned surfaces with disinfecting wipes or sprays,Made an effort to avoid touching my eyes, nose and mouth,,Did not leave my home for non-critical needs,",5+6,3+4,Agree,Somewhat worse,construction,high_ii
Pollfish2,2020-03-20 16:50:48,30,2001,female,white,94568,student,No,"Rescheduled or canceled pre-arranged travel plans,,,Made an effort to avoid touching my eyes, nose and mouth,Maintained 3 feet distance between myself and other people outside of my household,Did not leave my home for non-critical needs,",7+8,9+10,Strongly agree,Somewhat worse,other,prefer_not_to_say
Pollfish2,2020-03-20 14:03:19,12,1971,female,hispanic,95122,unable_to_work,I don't know,"Rescheduled or canceled non-critical in-person gatherings and appointments (e.g. birthday parties, concerts, museums, annual checkups, spa, social dinners),,,,,,,",7+8,5+6,Neutral,About the same,homemaker,lower_i
Pollfish2,2020-03-20 15:34:26,10,1991,male,white,94123,employed_for_wages,No,"Rescheduled or canceled non-critical in-person gatherings and appointments (e.g. birthday parties, concerts, museums, annual checkups, spa, social dinners),Rescheduled or canceled pre-arranged travel plans,Increased frequency of hand washing with soap,Cleaned surfaces with disinfecting wipes or sprays,,,Did not leave my home for non-critical needs,",7+8,7+8,Strongly agree,About the same,arts_entertainment_or_recreation,middle_ii
Pollfish2,2020-03-20 15:01:27,1000,1957,male,white,94041,employed_for_wages,No,"Did not leave my home for non-critical needs,",5+6,1+2,Disagree,Somewhat worse,education,middle_i
