Source,TimeFinished," On a scale of 1 to 10, how reasonable do you think the public reaction is to COVID-19 now? (1 is under-reacting and 10 is overreacting)","On a scale of 1 to 10, how much do you trust the government to respond to COVID-19 effectively? (1 is strongly distrust and 10 is strongly trust)"," ""COVID-19 has led me to drastically change my daily routines and the way I spend my day."" How much do you agree or disagree with this statement?", How many WEEKS do you think it'll take before your daily life returns to normal (like before COVID-19)? ," How are you doing financially today, compared to a year ago?"," Over the past week, have you been continually worried or anxious about a number of events or activities in your daily life?","In the past 3 days, did you work from home (WFH)?"," In the past 48 hours, I... (check all that apply)",,,,,,,,,,, Is any of your loved ones at higher risk of COVID-19? (check all that apply),,,,,What is your gender?,What is your annual household income?,What year were you born?,What is the zip code (i.e. postcal code) of the place you currently live in?,What country do you currently live in?,What is your employment status?,What is your ethnicity?,What industry are you part of?
Pollfish2,2020-03-20 09:40:07,9,9,Agree,12,About the same,No,"Yes, my employer/school made WFH mandatory",,,,,Rescheduled or canceled pre-arranged travel plans,Increased frequency of hand washing with soap,Cleaned surfaces with disinfecting wipes or sprays,"Made an effort to avoid touching my eyes, nose and mouth",Maintained 3 feet distance between myself and other people outside of my household,Did not leave my home for non-critical needs,,,,,"Yes, due to existing medical conditions (Diabetes, heart disease, lung disease)","Yes, due to their age (60+)",Male,middle_i,1953,94041,USA,employed_for_wages,white,software
Pollfish2,2020-03-20 16:06:53,7,3,Agree,4,Somewhat worse,Yes,"Yes, my employer/school made WFH mandatory",,,,,,Increased frequency of hand washing with soap,Cleaned surfaces with disinfecting wipes or sprays,,,Did not leave my home for non-critical needs,,,,,"Yes, due to existing medical conditions (Diabetes, heart disease, lung disease)",,Female,lower_ii,1993,94109,USA,employed_for_wages,asian,arts_entertainment_or_recreation
Pollfish2,2020-03-20 09:07:43,7,7,Agree,16,Somewhat worse,Yes,"No, for other reasons",,,,,Rescheduled or canceled pre-arranged travel plans,Increased frequency of hand washing with soap,Cleaned surfaces with disinfecting wipes or sprays,"Made an effort to avoid touching my eyes, nose and mouth",Maintained 3 feet distance between myself and other people outside of my household,Did not leave my home for non-critical needs,,,,,,"Yes, due to their age (60+)",Male,lower_i,1952,95141,USA,retired,black,other
Pollfish2,2020-03-20 12:48:11,6,5,Agree,10,About the same,No,"No, I'm not employed or in school",,,,"Rescheduled or canceled non-critical in-person gatherings and appointments (e.g. birthday parties, concerts, museums, annual checkups, spa, social dinners)",Rescheduled or canceled pre-arranged travel plans,Increased frequency of hand washing with soap,Cleaned surfaces with disinfecting wipes or sprays,"Made an effort to avoid touching my eyes, nose and mouth",Maintained 3 feet distance between myself and other people outside of my household,Did not leave my home for non-critical needs,,No,,,,,Female,prefer_not_to_say,1969,94538,USA,retired,asian,health_care_and_social_assistance
Pollfish2,2020-03-20 15:22:20,3,3,Neutral,5,Somewhat worse,Yes,"Yes, my employer/school gave an option to WFH",Shook hands with anyone outside of my household,,,,Rescheduled or canceled pre-arranged travel plans,,,,,,,,,,,"Yes, due to their age (60+)",Male,lower_ii,1991,94536,USA,employed_for_wages,asian,hotel_and_food_services
Pollfish2,2020-03-20 10:00:09,6,9,Disagree,13,Somewhat better,No,"No, my employer/school didn't provide an option to WFH",,,,,,Increased frequency of hand washing with soap,Cleaned surfaces with disinfecting wipes or sprays,,,,,,,,"Yes, due to existing medical conditions (Diabetes, heart disease, lung disease)","Yes, due to their age (60+)",Male,middle_i,1970,95141,USA,employed_for_wages,white,other
Pollfish2,2020-03-20 16:41:20,1,1,Strongly agree,8,Significantly worse,Yes,"Yes, my employer/school made WFH mandatory",,,,"Rescheduled or canceled non-critical in-person gatherings and appointments (e.g. birthday parties, concerts, museums, annual checkups, spa, social dinners)",Rescheduled or canceled pre-arranged travel plans,Increased frequency of hand washing with soap,,"Made an effort to avoid touching my eyes, nose and mouth",Maintained 3 feet distance between myself and other people outside of my household,Did not leave my home for non-critical needs,,,,,"Yes, due to existing medical conditions (Diabetes, heart disease, lung disease)","Yes, due to their age (60+)",Male,high_iii,1966,94040,USA,employed_for_wages,asian,scientific_or_technical_services
Pollfish2,2020-03-20 16:03:28,8,6,Agree,5,Significantly worse,Yes,"No, my employer/school didn't provide an option to WFH",,Attended in-person gatherings of 50+ people,Attended in-person gatherings outside of my household,"Rescheduled or canceled non-critical in-person gatherings and appointments (e.g. birthday parties, concerts, museums, annual checkups, spa, social dinners)",Rescheduled or canceled pre-arranged travel plans,Increased frequency of hand washing with soap,Cleaned surfaces with disinfecting wipes or sprays,,Maintained 3 feet distance between myself and other people outside of my household,Did not leave my home for non-critical needs,Ate at a restaurant,No,,,,,Female,lower_i,1997,94087,USA,unemployed_looking,hispanic,education
Pollfish2,2020-03-20 15:59:09,6,1,Strongly agree,8,Significantly worse,Yes,"No, my employer/school didn't provide an option to WFH",,,,"Rescheduled or canceled non-critical in-person gatherings and appointments (e.g. birthday parties, concerts, museums, annual checkups, spa, social dinners)",,Increased frequency of hand washing with soap,,"Made an effort to avoid touching my eyes, nose and mouth",Maintained 3 feet distance between myself and other people outside of my household,Did not leave my home for non-critical needs,,,,,,"Yes, due to their age (60+)",Male,middle_ii,1980,94610,USA,employed_for_wages,white,transportation_and_warehousing
Pollfish2,2020-03-20 10:28:48,8,2,Neutral,52,About the same,Yes,I worked from home for some days,,,,,,Increased frequency of hand washing with soap,,,Maintained 3 feet distance between myself and other people outside of my household,Did not leave my home for non-critical needs,,,,"Yes, they live in areas affected by COVID-19 (parts of the USA, China, Italy, Korea, etc)",,,Male,lower_i,1987,94110,USA,unemployed_looking,black,construction
Pollfish2,2020-03-20 10:58:32,1,10,Strongly agree,12,About the same,Yes,"No, my employer/school didn't provide an option to WFH",,,,"Rescheduled or canceled non-critical in-person gatherings and appointments (e.g. birthday parties, concerts, museums, annual checkups, spa, social dinners)",Rescheduled or canceled pre-arranged travel plans,Increased frequency of hand washing with soap,Cleaned surfaces with disinfecting wipes or sprays,"Made an effort to avoid touching my eyes, nose and mouth",Maintained 3 feet distance between myself and other people outside of my household,Did not leave my home for non-critical needs,,,,,,"Yes, due to their age (60+)",Female,lower_ii,1960,95122,USA,employed_for_wages,multiracial,education
Pollfish2,2020-03-20 15:49:01,5,3,Agree,12,Somewhat worse,Yes,"Yes, my employer/school made WFH mandatory",,,,,,,Cleaned surfaces with disinfecting wipes or sprays,"Made an effort to avoid touching my eyes, nose and mouth",,Did not leave my home for non-critical needs,,No,,,,,Male,high_ii,1987,95122,USA,employed_for_wages,white,construction
Pollfish2,2020-03-20 16:50:48,8,9,Strongly agree,30,Somewhat worse,Yes,"Yes, my employer/school made WFH mandatory",,,,,Rescheduled or canceled pre-arranged travel plans,,,"Made an effort to avoid touching my eyes, nose and mouth",Maintained 3 feet distance between myself and other people outside of my household,Did not leave my home for non-critical needs,,,,,,"Yes, due to their age (60+)",Female,prefer_not_to_say,2001,94568,USA,student,white,other
Pollfish2,2020-03-20 14:03:19,7,6,Neutral,12,About the same,Yes,"No, I'm not employed or in school",,,,"Rescheduled or canceled non-critical in-person gatherings and appointments (e.g. birthday parties, concerts, museums, annual checkups, spa, social dinners)",,,,,,,,,I don't know,,,,Female,lower_i,1971,95122,USA,unable_to_work,hispanic,homemaker
Pollfish2,2020-03-20 15:34:26,7,7,Strongly agree,10,About the same,No,"Yes, my employer/school made WFH mandatory",,,,"Rescheduled or canceled non-critical in-person gatherings and appointments (e.g. birthday parties, concerts, museums, annual checkups, spa, social dinners)",Rescheduled or canceled pre-arranged travel plans,Increased frequency of hand washing with soap,Cleaned surfaces with disinfecting wipes or sprays,,,Did not leave my home for non-critical needs,,,,,,"Yes, due to their age (60+)",Male,middle_ii,1991,94123,USA,employed_for_wages,white,arts_entertainment_or_recreation
Pollfish2,2020-03-20 15:01:27,5,1,Disagree,1000,Somewhat worse,Yes,"No, I'm not employed or in school",,,,,,,,,,Did not leave my home for non-critical needs,,,,,,"Yes, due to their age (60+)",Male,middle_i,1957,94041,USA,employed_for_wages,white,education
Pollfish2,2020-03-20 16:07:25,7,3,Strongly agree,12,Significantly worse,No,"Yes, for other reasons",,,,"Rescheduled or canceled non-critical in-person gatherings and appointments (e.g. birthday parties, concerts, museums, annual checkups, spa, social dinners)",Rescheduled or canceled pre-arranged travel plans,Increased frequency of hand washing with soap,,"Made an effort to avoid touching my eyes, nose and mouth",Maintained 3 feet distance between myself and other people outside of my household,Did not leave my home for non-critical needs,,,,,"Yes, due to existing medical conditions (Diabetes, heart disease, lung disease)","Yes, due to their age (60+)",Female,high_iii,1983,94112,USA,employed_for_wages,asian,health_care_and_social_assistance
Pollfish2,2020-03-20 09:01:23,8,6,Strongly disagree,12,About the same,Yes,"No, I'm not employed or in school",,,,,Rescheduled or canceled pre-arranged travel plans,,Cleaned surfaces with disinfecting wipes or sprays,"Made an effort to avoid touching my eyes, nose and mouth",,Did not leave my home for non-critical needs,,No,,,,,Female,lower_ii,1988,94086,USA,homemaker,white,homemaker
Pollfish2,2020-03-20 15:02:36,6,8,Neutral,24,Significantly worse,No,"No, my employer/school didn't provide an option to WFH",,,,"Rescheduled or canceled non-critical in-person gatherings and appointments (e.g. birthday parties, concerts, museums, annual checkups, spa, social dinners)",,Increased frequency of hand washing with soap,Cleaned surfaces with disinfecting wipes or sprays,,Maintained 3 feet distance between myself and other people outside of my household,Did not leave my home for non-critical needs,,,,,"Yes, due to existing medical conditions (Diabetes, heart disease, lung disease)","Yes, due to their age (60+)",Female,middle_i,1974,95122,USA,employed_for_wages,multiracial,hotel_and_food_services
Pollfish2,2020-03-20 09:36:04,5,4,Strongly agree,40,Somewhat worse,Yes,"Yes, my employer/school made WFH mandatory",,,,,,Increased frequency of hand washing with soap,,,Maintained 3 feet distance between myself and other people outside of my household,Did not leave my home for non-critical needs,,,,,,"Yes, due to their age (60+)",Male,lower_ii,2000,94127,USA,student,asian,marketing_sales
Pollfish2,2020-03-20 12:43:18,6,7,Strongly agree,8,Significantly worse,Yes,"Yes, my employer/school made WFH mandatory",,,,,,,Cleaned surfaces with disinfecting wipes or sprays,"Made an effort to avoid touching my eyes, nose and mouth",Maintained 3 feet distance between myself and other people outside of my household,,,,,,,"Yes, due to their age (60+)",Female,middle_i,1959,94115,USA,employed_for_wages,white,other
Pollfish2,2020-03-20 10:09:16,7,2,Agree,5,Significantly worse,Yes,"Yes, my employer/school made WFH mandatory",Shook hands with anyone outside of my household,,,,,Increased frequency of hand washing with soap,,,,Did not leave my home for non-critical needs,,No,,,,,Female,high_i,1982,94110,USA,self_employed,asian,software
Pollfish2,2020-03-20 13:16:41,4,5,Strongly agree,8,Significantly worse,Yes,"No, my employer/school didn't provide an option to WFH",,,,"Rescheduled or canceled non-critical in-person gatherings and appointments (e.g. birthday parties, concerts, museums, annual checkups, spa, social dinners)",,Increased frequency of hand washing with soap,Cleaned surfaces with disinfecting wipes or sprays,"Made an effort to avoid touching my eyes, nose and mouth",Maintained 3 feet distance between myself and other people outside of my household,Did not leave my home for non-critical needs,,,,,"Yes, due to existing medical conditions (Diabetes, heart disease, lung disease)",,Female,lower_ii,1994,95035,USA,employed_for_wages,white,hotel_and_food_services
Pollfish2,2020-03-20 17:09:12,1,1,Strongly agree,24,Significantly worse,Yes,"Yes, my employer/school made WFH mandatory",,,,,,,,,,Did not leave my home for non-critical needs,,,,,,"Yes, due to their age (60+)",Female,middle_ii,1961,94109,USA,employed_for_wages,white,software
Pollfish2,2020-03-20 15:17:13,3,3,Agree,16,About the same,No,"No, I'm not employed or in school",,,,"Rescheduled or canceled non-critical in-person gatherings and appointments (e.g. birthday parties, concerts, museums, annual checkups, spa, social dinners)",,Increased frequency of hand washing with soap,Cleaned surfaces with disinfecting wipes or sprays,"Made an effort to avoid touching my eyes, nose and mouth",,Did not leave my home for non-critical needs,,,,"Yes, they live in areas affected by COVID-19 (parts of the USA, China, Italy, Korea, etc)",,"Yes, due to their age (60+)",Female,high_iii,1954,94402,USA,retired,white,other
Pollfish2,2020-03-20 17:11:07,3,4,Agree,4,About the same,No,"No, my employer/school didn't provide an option to WFH",,,,,,Increased frequency of hand washing with soap,,"Made an effort to avoid touching my eyes, nose and mouth",,Did not leave my home for non-critical needs,,No,,,,,Female,prefer_not_to_say,2004,95122,USA,unemployed_looking,asian,other
Pollfish2,2020-03-20 15:39:41,7,4,Neutral,3,About the same,No,"No, for other reasons",,,,,,Increased frequency of hand washing with soap,,"Made an effort to avoid touching my eyes, nose and mouth",,,,No,,,,,Female,prefer_not_to_say,2002,94124,USA,unemployed_looking,hispanic,other
Pollfish2,2020-03-20 15:30:05,4,4,Agree,17,Somewhat worse,Yes,I worked from home for some days,,,,,,Increased frequency of hand washing with soap,Cleaned surfaces with disinfecting wipes or sprays,,,Did not leave my home for non-critical needs,,,,"Yes, they live in areas affected by COVID-19 (parts of the USA, China, Italy, Korea, etc)","Yes, due to existing medical conditions (Diabetes, heart disease, lung disease)",,Male,high_iii,1999,94010,USA,student,asian,health_care_and_social_assistance
Pollfish2,2020-03-20 16:33:32,7,1,Neutral,3,Somewhat worse,Yes,"No, I'm not employed or in school",,,,,Rescheduled or canceled pre-arranged travel plans,,,"Made an effort to avoid touching my eyes, nose and mouth",,Did not leave my home for non-critical needs,,,,"Yes, they live in areas affected by COVID-19 (parts of the USA, China, Italy, Korea, etc)",,,Female,lower_i,1978,94102,USA,unemployed_looking,white,finance_and_insurance
Pollfish2,2020-03-20 09:51:48,1,1,Strongly agree,12,Somewhat better,Yes,"Yes, my employer/school made WFH mandatory",,,,,,Increased frequency of hand washing with soap,Cleaned surfaces with disinfecting wipes or sprays,"Made an effort to avoid touching my eyes, nose and mouth",Maintained 3 feet distance between myself and other people outside of my household,Did not leave my home for non-critical needs,,No,,,,,Female,high_iii,1979,94606,USA,self_employed,black,legal_services
Pollfish2,2020-03-20 14:30:06,8,5,Agree,8,About the same,Yes,"No, my employer/school didn't provide an option to WFH",,,,,,,,,,Did not leave my home for non-critical needs,,,I don't know,,,,Male,middle_ii,1985,95121,USA,unemployed_looking,white,construction
Pollfish2,2020-03-20 16:56:19,6,5,Agree,6,About the same,No,"Yes, my employer/school made WFH mandatory",,,,,Rescheduled or canceled pre-arranged travel plans,,Cleaned surfaces with disinfecting wipes or sprays,,Maintained 3 feet distance between myself and other people outside of my household,Did not leave my home for non-critical needs,,,,,,"Yes, due to their age (60+)",Female,prefer_not_to_say,1961,94131,USA,self_employed,prefer_not_to_say,information_services_and_data
Pollfish2,2020-03-20 12:17:49,1,4,Strongly agree,8,Somewhat worse,Yes,"No, my employer/school didn't provide an option to WFH",,,,"Rescheduled or canceled non-critical in-person gatherings and appointments (e.g. birthday parties, concerts, museums, annual checkups, spa, social dinners)",Rescheduled or canceled pre-arranged travel plans,Increased frequency of hand washing with soap,Cleaned surfaces with disinfecting wipes or sprays,"Made an effort to avoid touching my eyes, nose and mouth",,Did not leave my home for non-critical needs,,,,"Yes, they live in areas affected by COVID-19 (parts of the USA, China, Italy, Korea, etc)","Yes, due to existing medical conditions (Diabetes, heart disease, lung disease)","Yes, due to their age (60+)",Female,middle_ii,1991,95127,USA,employed_for_wages,hispanic,manufacturing_other
Pollfish2,2020-03-20 13:40:22,5,6,Disagree,12,Somewhat better,Yes,"No, for other reasons",,,,,,Increased frequency of hand washing with soap,,"Made an effort to avoid touching my eyes, nose and mouth",,Did not leave my home for non-critical needs,,,,,,"Yes, due to their age (60+)",Male,lower_i,1984,94041,USA,unemployed_looking,white,retail
Pollfish2,2020-03-20 15:29:31,10,7,Strongly agree,1,About the same,No,"No, I'm not employed or in school",,,,,,,,,,Did not leave my home for non-critical needs,,No,,,,,Female,lower_ii,1978,94602,USA,retired,black,other
Pollfish2,2020-03-20 09:17:22,5,5,Neutral,12,About the same,Yes,"Yes, for other reasons",,,,,,,,,Maintained 3 feet distance between myself and other people outside of my household,Did not leave my home for non-critical needs,,,,"Yes, they live in areas affected by COVID-19 (parts of the USA, China, Italy, Korea, etc)","Yes, due to existing medical conditions (Diabetes, heart disease, lung disease)","Yes, due to their age (60+)",Female,lower_i,1983,94109,USA,self_employed,multiracial,other
Pollfish2,2020-03-20 16:42:26,8,9,Agree,8,About the same,Yes,"No, my employer/school didn't provide an option to WFH",,Attended in-person gatherings of 50+ people,Attended in-person gatherings outside of my household,,,,,,,,Ate at a restaurant,,,"Yes, they live in areas affected by COVID-19 (parts of the USA, China, Italy, Korea, etc)",,,Female,lower_ii,1985,95035,USA,homemaker,asian,human_resources
Pollfish2,2020-03-20 15:41:23,9,5,Neutral,3,Significantly worse,Yes,"No, my employer/school didn't provide an option to WFH",,,,,,,,,,Did not leave my home for non-critical needs,,,,,"Yes, due to existing medical conditions (Diabetes, heart disease, lung disease)","Yes, due to their age (60+)",Female,lower_i,1998,95035,USA,student,asian,retail
Pollfish2,2020-03-20 16:38:53,6,8,Agree,20,Somewhat worse,Yes,"Yes, my employer/school made WFH mandatory",,,,"Rescheduled or canceled non-critical in-person gatherings and appointments (e.g. birthday parties, concerts, museums, annual checkups, spa, social dinners)",Rescheduled or canceled pre-arranged travel plans,Increased frequency of hand washing with soap,,"Made an effort to avoid touching my eyes, nose and mouth",,,,,,,"Yes, due to existing medical conditions (Diabetes, heart disease, lung disease)",,Female,middle_ii,1999,94112,USA,student,white,education
Pollfish2,2020-03-20 15:43:05,7,5,Neutral,52,About the same,Yes,I worked from home for some days,,,,,Rescheduled or canceled pre-arranged travel plans,,,,,,,,,"Yes, they live in areas affected by COVID-19 (parts of the USA, China, Italy, Korea, etc)",,,Male,prefer_not_to_say,2000,94306,USA,other,hispanic,other
Pollfish2,2020-03-20 15:51:42,8,9,Strongly agree,32,About the same,Yes,"No, for other reasons",,,,"Rescheduled or canceled non-critical in-person gatherings and appointments (e.g. birthday parties, concerts, museums, annual checkups, spa, social dinners)",,Increased frequency of hand washing with soap,Cleaned surfaces with disinfecting wipes or sprays,"Made an effort to avoid touching my eyes, nose and mouth",Maintained 3 feet distance between myself and other people outside of my household,Did not leave my home for non-critical needs,,,,,"Yes, due to existing medical conditions (Diabetes, heart disease, lung disease)","Yes, due to their age (60+)",Female,middle_i,1953,94080,USA,retired,white,other
Pollfish2,2020-03-20 09:43:45,7,8,Agree,10,Somewhat worse,Yes,"Yes, my employer/school gave an option to WFH",,,,"Rescheduled or canceled non-critical in-person gatherings and appointments (e.g. birthday parties, concerts, museums, annual checkups, spa, social dinners)",,Increased frequency of hand washing with soap,Cleaned surfaces with disinfecting wipes or sprays,"Made an effort to avoid touching my eyes, nose and mouth",,,,,,,"Yes, due to existing medical conditions (Diabetes, heart disease, lung disease)",,Male,high_i,1985,94607,USA,employed_for_wages,asian,construction
Pollfish2,2020-03-20 12:57:08,1,4,Neutral,495,Significantly better,No,"Yes, my employer/school made WFH mandatory",,,Attended in-person gatherings outside of my household,,,,,,Maintained 3 feet distance between myself and other people outside of my household,,,No,,,,,Female,high_ii,1984,95122,USA,employed_for_wages,other,agriculture_forestry_fishing_or_hunting
Pollfish2,2020-03-20 15:23:47,4,4,Strongly agree,4,Somewhat worse,Yes,"Yes, my employer/school made WFH mandatory",,,,,,,,,,Did not leave my home for non-critical needs,,,,,"Yes, due to existing medical conditions (Diabetes, heart disease, lung disease)","Yes, due to their age (60+)",Male,middle_ii,1991,95148,USA,employed_for_wages,asian,finance_and_insurance
Pollfish2,2020-03-20 11:59:33,10,5,Neutral,8,About the same,Yes,"No, my employer/school didn't provide an option to WFH",Shook hands with anyone outside of my household,,,,,Increased frequency of hand washing with soap,Cleaned surfaces with disinfecting wipes or sprays,"Made an effort to avoid touching my eyes, nose and mouth",Maintained 3 feet distance between myself and other people outside of my household,Did not leave my home for non-critical needs,,,,,"Yes, due to existing medical conditions (Diabetes, heart disease, lung disease)","Yes, due to their age (60+)",Female,lower_ii,1948,95141,USA,retired,white,other
Pollfish2,2020-03-20 14:25:12,5,3,Agree,6,About the same,Yes,"No, for other reasons",,,,"Rescheduled or canceled non-critical in-person gatherings and appointments (e.g. birthday parties, concerts, museums, annual checkups, spa, social dinners)",Rescheduled or canceled pre-arranged travel plans,Increased frequency of hand washing with soap,,"Made an effort to avoid touching my eyes, nose and mouth",,,,,,,"Yes, due to existing medical conditions (Diabetes, heart disease, lung disease)","Yes, due to their age (60+)",Male,high_iii,1950,94539,USA,employed_for_wages,asian,software
Pollfish2,2020-03-20 10:54:40,10,1,Strongly disagree,20,Significantly worse,No,"Yes, for other reasons",,,Attended in-person gatherings outside of my household,,,Increased frequency of hand washing with soap,,,Maintained 3 feet distance between myself and other people outside of my household,,,,,,,"Yes, due to their age (60+)",Male,middle_i,1993,94124,USA,employed_for_wages,white,arts_entertainment_or_recreation
Pollfish2,2020-03-20 16:07:27,3,3,Neutral,4,Somewhat worse,Yes,"No, for other reasons",,,,,,,,"Made an effort to avoid touching my eyes, nose and mouth",,,,,,,"Yes, due to existing medical conditions (Diabetes, heart disease, lung disease)",,Male,lower_i,1982,95123,USA,unemployed_looking,white,hotel_and_food_services
Pollfish2,2020-03-20 09:35:09,7,5,Strongly agree,5,About the same,No,"Yes, my employer/school made WFH mandatory",,,,,Rescheduled or canceled pre-arranged travel plans,Increased frequency of hand washing with soap,Cleaned surfaces with disinfecting wipes or sprays,"Made an effort to avoid touching my eyes, nose and mouth",Maintained 3 feet distance between myself and other people outside of my household,Did not leave my home for non-critical needs,,,,,"Yes, due to existing medical conditions (Diabetes, heart disease, lung disease)","Yes, due to their age (60+)",Female,lower_i,1986,94086,USA,unemployed_looking,latino,education
Pollfish2,2020-03-20 13:17:40,10,4,Strongly agree,10,Somewhat worse,No,"Yes, for other reasons",,,,,,,,,,,Ate at a restaurant,,,,"Yes, due to existing medical conditions (Diabetes, heart disease, lung disease)",,Male,prefer_not_to_say,1977,94606,USA,employed_for_wages,white,hotel_and_food_services
Pollfish2,2020-03-20 13:20:23,7,6,Neutral,8,About the same,No,"No, my employer/school didn't provide an option to WFH",,,,,,Increased frequency of hand washing with soap,Cleaned surfaces with disinfecting wipes or sprays,"Made an effort to avoid touching my eyes, nose and mouth",Maintained 3 feet distance between myself and other people outside of my household,Did not leave my home for non-critical needs,,No,,,,,Male,middle_i,1965,94122,USA,employed_for_wages,asian,arts_entertainment_or_recreation
Pollfish2,2020-03-20 16:01:21,10,8,Neutral,2,About the same,No,"No, for other reasons",,,,,,Increased frequency of hand washing with soap,,"Made an effort to avoid touching my eyes, nose and mouth",,,,No,,,,,Female,middle_i,1956,94086,USA,employed_for_wages,white,other
